id,nome,ano_lancamento,genero,developer,franchise,descricao,metacritic,nota_kadu,nota_pavam,historico_importante,historico_influente
44,Bloodborne,2015,RPG,FromSoftware,Bloodborne,"Bloodborne acelerou a fórmula da FromSoftware e a mergulhou em uma cidade gótica tomada por doença, culto e horror cósmico. Seu combate agressivo e sua arquitetura transformaram Yharnam em um dos mundos mais marcantes da geração.",92,,,,
45,Ori and the Blind Forest,2015,Platform,Moon Studios,Ori,"Ori and the Blind Forest combinou plataforma precisa, exploração e uma apresentação delicada sobre perda e renovação. Sua floresta luminosa contrasta beleza e dificuldade, fazendo do movimento uma forma de expressão emocional.",88,,,,
46,DOOM,2016,First-Person Shooter,id Software,DOOM,"DOOM recuperou a velocidade e a agressividade da série com arenas que recompensam movimento constante. O combate direto, a trilha intensa e as eliminações aproximadas devolveram ao shooter uma energia física e sem hesitação.",87,,,,
47,Uncharted 4: A Thief's End,2016,Action-Adventure,Naughty Dog,Uncharted,"A Thief's End encerrou a trajetória de Nathan Drake com uma aventura mais madura sobre obsessão, família e abandono. Seu espetáculo técnico convive com momentos silenciosos, dando ao fim da série um peso raro em grandes produções.",93,,,,
48,The Last Guardian,2016,Action-Adventure,GenDesign,The Last Guardian,"The Last Guardian construiu sua aventura ao redor da relação imperfeita entre um menino e Trico. A dificuldade de comunicação não é apenas obstáculo: ela transforma confiança, cuidado e movimento em parte central da experiência.",82,,,,
49,Horizon Zero Dawn,2017,Action-Adventure,Guerrilla Games,Horizon,"Horizon Zero Dawn combinou natureza, ruínas tecnológicas e criaturas mecânicas em um mundo de identidade própria. Aloy conduz uma investigação pessoal que também revela como aquela civilização caiu e por que o mundo recomeçou.",89,,,,
50,NieR: Automata,2017,RPG,PlatinumGames,NieR,"NieR: Automata combina combate estilizado, múltiplas perspectivas e uma narrativa filosófica sobre identidade e consciência. Sua estrutura de finais e repetições transforma aquilo que parecia conhecido, fazendo da melancolia parte do próprio sistema.",88,,,,
51,Persona 5,2017,RPG,P-Studio,Persona,"Persona 5 transforma rotina escolar, amizade e rebeldia em um RPG de estilo visual inconfundível. A alternância entre Tóquio e os Palácios cria um ritmo próprio, no qual tempo e relações têm tanto peso quanto o combate.",93,,,,
52,The Legend of Zelda: Breath of the Wild,2017,Action-Adventure,Nintendo,The Legend of Zelda,"Breath of the Wild reorganizou Zelda em torno de curiosidade, física e liberdade de exploração. Hyrule deixa de ser apenas sequência de objetivos e se torna um espaço onde clima, terreno e criatividade produzem soluções pessoais.",97,,,,
53,God of War,2018,Action-Adventure,Santa Monica Studio,God of War,"God of War reinventou Kratos ao trocar o excesso constante por uma viagem mais íntima entre pai e filho. O combate, a câmera contínua e a mitologia nórdica sustentam uma obra sobre culpa, legado e tentativa de mudança.",94,,,,
54,Marvel's Spider-Man,2018,Action-Adventure,Insomniac Games,Marvel's Spider-Man,"Marvel's Spider-Man traduziu movimento, humor e responsabilidade para uma Nova York aberta e fluida. Balançar entre prédios é parte essencial da experiência, enquanto Peter Parker mantém o lado humano por trás do herói.",87,,,,
55,Red Dead Redemption 2,2018,Open World,Rockstar Studios,Red Dead,"Red Dead Redemption 2 acompanha a lenta dissolução de uma gangue e de uma forma de vida. Seu mundo detalhado, ritmo deliberado e trajetória de Arthur Morgan transformam o faroeste em uma reflexão sobre lealdade, violência e redenção.",97,,,,
56,Quantum Break,2016,Third-Person Shooter,Remedy Entertainment,Quantum Break,"Quantum Break misturou tiroteios, poderes temporais e episódios filmados em uma experiência híbrida. Mesmo irregular, representa a busca da Remedy por unir narrativa audiovisual e mecânicas que alteram o tempo dentro do combate.",77,,,,
57,Control,2019,Action-Adventure,Remedy Entertainment,Control,"Control transforma um prédio governamental impossível em labirinto arquitetônico e paranormal. Jesse Faden, a Arma de Serviço e a destruição dos ambientes sustentam uma experiência em que burocracia e estranheza convivem naturalmente.",85,,,,
58,Sekiro: Shadows Die Twice,2019,Action-Adventure,FromSoftware,Sekiro,"Sekiro substituiu a variedade de builds por um duelo preciso baseado em postura, ritmo e reação. Sua interpretação fantástica do Japão e o movimento vertical deram nova forma à exigência característica da FromSoftware.",91,,,,
59,Death Stranding,2019,Action-Adventure,Kojima Productions,Death Stranding,"Death Stranding fez da travessia, do peso e da conexão suas principais mecânicas. Caminhar por paisagens vazias deixa de ser intervalo e se torna o centro de uma obra sobre isolamento, trabalho e vínculos reconstruídos.",82,,,,
60,Ghost of Tsushima,2020,Action-Adventure,Sucker Punch Productions,Ghost of Tsushima,"Ghost of Tsushima transforma a ilha invadida em um cenário de beleza, conflito e mudança. A trajetória de Jin Sakai coloca honra e sobrevivência em tensão, enquanto vento, cor e composição orientam a exploração com elegância.",83,,,,
61,The Last of Us Part II,2020,Action-Adventure,Naughty Dog,The Last of Us,"The Last of Us Part II apresenta uma história dura sobre violência, luto e perspectiva. Ao dividir o jogador entre personagens em conflito, o jogo recusa respostas confortáveis e usa seus sistemas para aproximar ação e consequência emocional.",93,,,,
62,Elden Ring,2022,RPG,FromSoftware,Elden Ring,"Elden Ring levou a exploração da FromSoftware para um mundo aberto repleto de ruínas, caminhos ocultos e encontros inesperados. A liberdade de direção amplia a descoberta sem abandonar o mistério, o risco e a construção fragmentada de seu universo.",96,,,,
63,Baldur's Gate 3,2023,RPG,Larian Studios,Baldur's Gate,"Baldur's Gate 3 transformou regras complexas de RPG em uma aventura acessível, reativa e profundamente aberta à experimentação. Personagens, escolhas e sistemas se combinam para produzir histórias que parecem realmente responder ao jogador.",96,,,,
64,Alan Wake 2,2023,Survival Horror,Remedy Entertainment,Alan Wake,"Alan Wake 2 mistura survival horror, investigação e linguagem audiovisual em uma narrativa sobre criação e realidade. A alternância entre Alan e Saga permite que lugares, gêneros e perspectivas se dobrem como páginas de uma história instável.",89,,,,
65,Astro Bot,2024,Platform,Team Asobi,Astro Bot,"Astro Bot celebra a história do PlayStation por meio de plataforma precisa, invenções constantes e uso criativo do controle. Sua leveza não diminui o cuidado técnico: cada fase apresenta novas ideias com clareza e entusiasmo.",94,,,,
66,Black Myth: Wukong,2024,RPG,Game Science,Black Myth,"Black Myth: Wukong transforma a tradição de Jornada ao Oeste em um RPG de ação visualmente ambicioso. Combates contra criaturas mitológicas, cenários detalhados e a figura do Destinado dão nova escala a uma referência central da cultura chinesa.",81,,,,
67,The Legend of Zelda: A Link to the Past,1991,Action-Adventure,Nintendo EAD,The Legend of Zelda,"A Link to the Past consolidou a estrutura clássica de Zelda ao conectar exploração, masmorras e dois mundos sobrepostos. Seu ritmo e desenho de mapa transformaram Hyrule em uma referência duradoura para aventuras em duas dimensões.",,,,,
68,Celeste,2018,Platform,Matt Makes Games,Celeste,"Celeste combina plataforma de precisão com uma história íntima sobre ansiedade, insegurança e perseverança. A subida da montanha transforma repetição e dificuldade em partes naturais do crescimento de Madeline.",94,,,,
69,Hades,2020,Roguelike,Supergiant Games,Hades,"Hades transforma a repetição do roguelike em continuidade narrativa, fazendo cada tentativa revelar novos diálogos e relações. Combate rápido, arte e mitologia se conectam para tornar o fracasso parte essencial da jornada de Zagreus.",93,,,,
70,The Forest,2018,Survival Horror,Endnight Games,The Forest,"The Forest mistura sobrevivência, construção e horror em uma ilha que reage à presença do jogador. A ameaça dos habitantes, a liberdade de exploração e o mistério subterrâneo criam uma experiência constantemente imprevisível.",83,,,,
71,Hollow Knight,2017,Metroidvania,Team Cherry,Hollow Knight,"Hollow Knight apresenta Hallownest como um reino em ruínas descoberto por movimento, combate e silêncio. Seu mapa interligado, direção artística e narrativa fragmentada renovaram o interesse pelo metroidvania independente.",87,,,,
72,Resident Evil (1996),1996,Survival Horror,Capcom,Resident Evil,"Resident Evil consolidou o survival horror ao limitar recursos e transformar uma mansão em um labirinto de tensão. Câmeras fixas, enigmas e vulnerabilidade estabeleceram uma linguagem que marcaria o gênero por décadas.",91,,,,
73,Silent Hill 2,2001,Survival Horror,Team Silent,Silent Hill,"Silent Hill 2 colocou culpa, luto e repressão no centro de uma experiência de horror psicológico. A cidade e suas criaturas funcionam como reflexos pessoais, tornando a jornada de James mais íntima do que explicativa. Dentro deste arquivo, ele não é apenas um marco histórico: é o registro mais importante para seu criador.",89,,,,
74,P.T.,2014,Survival Horror,Kojima Productions,Silent Hill,"P.T. transformou um único corredor em um espaço mutável, claustrofóbico e difícil de compreender. Mesmo ligado a um projeto cancelado, seu lançamento secreto e sua linguagem de horror influenciaram inúmeros jogos posteriores.",,,,,
75,Life is Strange,2015,Adventure,Dontnod Entertainment,Life is Strange,"Life is Strange combina drama adolescente, mistério e escolhas com a possibilidade de voltar no tempo. Arcadia Bay, sua trilha e a amizade entre Max e Chloe deram identidade emocional a uma geração de aventuras narrativas.",85,,,,
76,Inside,2016,Puzzle,Playdead,Inside,"Inside conduz o jogador por um mundo industrial opressivo sem depender de diálogos ou explicações diretas. Movimento, enquadramento e puzzles ambientais constroem uma narrativa inquietante sobre controle e perda de identidade.",93,,,,
77,Cuphead,2017,Run and Gun,Studio MDHR,Cuphead,"Cuphead recria a animação dos anos 1930 com desenhos, cenários e música produzidos para parecerem parte daquele período. A apresentação incomum acompanha confrontos exigentes que valorizam leitura, repetição e domínio dos padrões.",88,,,,
78,Cry of Fear,2012,Survival Horror,Team Psykskallar,Cry of Fear,"Cry of Fear nasceu como uma modificação de Half-Life e transformou ambientes urbanos comuns em espaços de isolamento psicológico. Sua atmosfera áspera, narrativa pessoal e disponibilidade gratuita ajudaram a formar um clássico cult do horror no PC.",,,,,
79,GRIS,2018,Platform,Nomada Studio,GRIS,"GRIS utiliza cor, movimento e música para representar uma travessia emocional sem explicar diretamente cada símbolo. As habilidades adquiridas acompanham a reconstrução de seu mundo e transformam a plataforma em linguagem visual.",84,,,,
80,Hellblade: Senua's Sacrifice,2017,Action-Adventure,Ninja Theory,Hellblade,"Hellblade acompanha Senua por uma jornada construída entre mitologia, trauma e percepção. O uso de áudio binaural e vozes próximas ao jogador cria uma experiência sensorial inseparável de sua narrativa.",83,,,,
81,Journey,2012,Adventure,thatgamecompany,Journey,"Journey reduz comunicação e objetivos ao essencial para criar uma peregrinação silenciosa por ruínas e desertos. O encontro anônimo com outro jogador transforma cooperação em gesto, presença e memória compartilhada.",92,,,,
82,L.A. Noire,2011,Action-Adventure,Team Bondi,L.A. Noire,"L.A. Noire transforma investigação, interrogatório e observação facial em sistemas centrais de uma história policial. Sua recriação de Los Angeles e estrutura de casos aproximam mundo aberto, aventura e cinema noir.",89,,,,
83,Limbo,2010,Puzzle,Playdead,Limbo,"Limbo utiliza silhuetas, silêncio e física para construir uma travessia hostil que raramente explica suas regras. Seu visual monocromático e suas mortes abruptas estabeleceram uma referência imediata para jogos independentes atmosféricos.",90,,,,
84,Unravel,2016,Platform,Coldwood Interactive,Unravel,"Unravel transforma o fio de Yarny em ferramenta de movimento, puzzle e metáfora de ligação afetiva. Paisagens inspiradas na Escandinávia dão escala e delicadeza a uma aventura sobre lembranças familiares.",81,,,,
85,A Plague Tale: Innocence,2019,Action-Adventure,Asobo Studio,A Plague Tale,"A Plague Tale: Innocence acompanha dois irmãos tentando sobreviver à guerra, à peste e a enxames de ratos. Furtividade, luz e cuidado mútuo sustentam uma narrativa linear marcada pela fragilidade de Amicia e Hugo.",83,,,,
86,The Evil Within,2014,Survival Horror,Tango Gameworks,The Evil Within,"The Evil Within marcou o retorno de Shinji Mikami ao horror com espaços grotescos que se reorganizam sem aviso. Escassez, armadilhas e violência aproximam o survival horror clássico de uma ação mais agressiva.",79,,,,
87,What Remains of Edith Finch,2017,Adventure,Giant Sparrow,What Remains of Edith Finch,"What Remains of Edith Finch transforma cada integrante de uma família em uma pequena história com linguagem própria. A casa funciona como arquivo de ausências, permitindo que mecânicas diferentes representem memória, imaginação e morte.",89,,,,
88,Tony Hawk's Pro Skater 3,2001,Sports,Neversoft,Tony Hawk's,"Tony Hawk’s Pro Skater 3 refinou a fluidez de manobras, linhas e combinações que definiu a série. Fases densas, objetivos rápidos e recursos online fizeram do skate uma das experiências mais acessíveis e técnicas de sua geração.",97,,,,
89,Spec Ops: The Line,2012,Third-Person Shooter,Yager Development,Spec Ops,"Spec Ops: The Line utiliza a aparência de um shooter militar convencional para questionar violência, heroísmo e obediência. A campanha em Dubai confronta o jogador com consequências que tornam desconfortável a própria participação.",77,,,,
90,Chrono Trigger,1995,RPG,Square,Chrono,"Chrono Trigger combina viagens no tempo, batalhas ágeis e personagens de épocas diferentes em uma aventura de ritmo excepcional. Suas decisões, missões opcionais e múltiplos finais mostraram como um RPG poderia reagir à ordem escolhida pelo jogador.",,,,,
91,Castlevania: Symphony of the Night,1997,Metroidvania,Konami,Castlevania,"Symphony of the Night abriu o castelo de Dracula para exploração livre, progressão de equipamentos e retorno a áreas antigas. A combinação entre ação lateral e estrutura de RPG ajudou a consolidar o modelo posteriormente chamado de metroidvania.",93,,,,
92,The Walking Dead: Season One,2012,Adventure,Telltale Games,The Walking Dead,"The Walking Dead: Season One colocou relações e decisões emocionais acima da resolução tradicional de enigmas. A ligação entre Lee e Clementine mostrou como escolhas limitadas ainda poderiam produzir envolvimento, culpa e responsabilidade.",94,,,,
93,Devil May Cry 3: Dante's Awakening,2005,Hack and Slash,Capcom,Devil May Cry,"Devil May Cry 3 expandiu o combate estiloso com diferentes estilos, armas e possibilidades de combinação. A rivalidade entre Dante e Vergil deu personalidade a uma campanha que se tornou referência para jogos de ação técnica.",84,,,,
94,Mirror's Edge Catalyst,2016,Action-Adventure,EA DICE,Mirror's Edge,"Mirror’s Edge Catalyst amplia o movimento de Faith para uma cidade aberta construída em torno de velocidade e continuidade. Sua arquitetura branca, cores funcionais e parkour em primeira pessoa preservam uma identidade visual rara entre grandes produções.",74,,,,
95,Clair Obscur: Expedition 33,2025,RPG,Sandfall Interactive,Clair Obscur,"Clair Obscur: Expedition 33 combina batalhas em turnos com comandos em tempo real e uma direção artística inspirada na Belle Époque. Sua expedição trata mortalidade, arte e continuidade por meio de personagens marcados por uma contagem inevitável.",92,,,,
96,The Legend of Zelda: Majora's Mask,2000,Action-Adventure,Nintendo EAD,The Legend of Zelda,"Majora’s Mask reorganiza Zelda ao prender Termina em um ciclo de três dias que precisa ser observado e repetido. Rotinas, máscaras e histórias paralelas transformam o fim do mundo em uma experiência sobre tempo, perda e comunidade.",95,,,,
97,DOOM (1993),1993,First-Person Shooter,id Software,DOOM,"DOOM popularizou o tiro em primeira pessoa com velocidade, labirintos e uma presença física imediata. Sua distribuição, ferramentas e comunidade de modificações também ajudaram a estabelecer uma cultura duradoura de criação no PC.",,,,,
98,Super Mario 64,1996,Platform,Nintendo EAD,Mario,"Super Mario 64 apresentou movimento tridimensional com liberdade, precisão e objetivos distribuídos dentro de espaços exploráveis. Sua câmera, estrutura por estrelas e controle analógico se tornaram referência para o design de plataforma em 3D.",94,,,,
99,Tomb Raider (1996),1996,Action-Adventure,Core Design,Tomb Raider,"Tomb Raider levou exploração, plataforma e enigmas para ambientes tridimensionais de grande escala. Lara Croft e as ruínas percorridas pelo jogo se tornaram símbolos da geração inicial do PlayStation.",91,,,,
100,Half-Life,1998,First-Person Shooter,Valve,Half-Life,"Half-Life integrou narrativa e ação sem retirar constantemente o controle do jogador. Eventos roteirizados, inteligência artificial e continuidade espacial transformaram Black Mesa em um lugar convincente e redefiniram o ritmo dos shooters para PC.",96,,,,
101,Silent Hill 2 Remake,2024,Survival Horror,Bloober Team,Silent Hill,"Silent Hill 2 Remake reconstrói a jornada de James Sunderland com nova perspectiva, espaços ampliados e uma presença física mais intensa. A releitura preserva o peso psicológico do original enquanto traduz sua névoa, silêncio e desconforto para uma linguagem contemporânea.",87,,,,
